name,dvoa,wins,o_dvoa,d_dvoa,s_dvoa
HOIL,16.3,12.0,-1.5,-15.3,2.4
DEN,14.6,9.0,14.8,-2.3,-2.5
NYG,12.7,11.0,11.2,-1.2,0.3
PIT,12.4,9.0,-1.5,-17.5,-3.6
GB,11.3,9.0,-3.5,-9.3,5.5
LARD,11.1,10.0,4.7,0.7,7.1
PHI,9.4,8.0,6.3,-9.3,-6.2
BUF,8.7,12.0,2.1,-6.6,0.1
NYJ,6.1,8.0,5.5,-7.8,-7.2
MIN,5.3,9.0,0.1,-13.6,-8.4
MIA,3.7,9.0,11.1,6.6,-0.9
PHX,-0.1,7.0,4.1,7.1,3.0
CLE1,-1.0,7.0,-7.4,-2.5,3.9
NO,-2.6,8.0,-14.4,-5.2,6.6
DET,-5.4,10.0,-11.8,-1.3,5.1
CHI,-7.3,7.0,-14.7,-5.5,2.0
SEA,-9.0,6.0,-7.8,-0.9,-2.1
ATL,-12.6,6.0,-7.4,11.9,6.7
LARM,-21.2,5.0,3.2,18.9,-5.5
WAS,-21.4,4.0,-9.8,9.7,-1.9
NE,-23.9,5.0,-12.2,5.9,-5.8
CIN,-29.1,3.0,-13.7,14.7,-0.7
TB,-32.9,5.0,-20.8,11.0,-1.1
IND,-37.2,4.0,-20.3,17.7,0.7
DAL,32.9,12.0,18.4,-12.8,1.7
PIT,29.8,12.0,12.2,-17.8,-0.2
SF,27.6,13.0,18.9,-7.5,1.2
GB,21.9,9.0,13.3,-11.3,-2.7
MIA,17.1,10.0,18.4,-2.6,-3.9
KC,13.7,9.0,8.1,-4.9,0.6
PHI,10.9,7.0,-1.6,-11.3,1.2
SD,10.6,11.0,8.6,3.5,5.4
CLE1,10.3,11.0,-3.7,-3.9,10.1
NE,5.6,10.0,-0.8,-5.7,0.8
MIN,1.9,10.0,-4.1,-8.2,-2.2
DET,1.8,9.0,7.8,5.7,-0.3
BUF,1.4,7.0,5.0,3.8,0.2
LARD,-3.2,9.0,-8.9,-3.8,1.9
CHI,-3.9,9.0,-0.7,1.8,-1.4
NO,-4.0,7.0,7.1,7.6,-3.5
NYJ,-6.1,6.0,-1.7,3.0,-1.4
NYG,-7.0,9.0,-7.8,2.5,3.3
IND,-8.1,8.0,-5.8,0.5,-1.8
ARI,-9.1,8.0,-16.3,-12.0,-4.8
DEN,-9.7,7.0,1.0,12.5,1.8
SEA,-10.3,6.0,-11.8,1.5,2.9
LARM,-11.8,4.0,-0.9,5.1,-5.8
ATL,-15.7,7.0,-5.2,7.8,-2.7
WAS,-16.8,3.0,-9.9,11.1,4.2
TB,-18.7,6.0,-6.1,14.0,1.5
CIN,-25.7,3.0,-16.2,6.7,-2.8
HOIL,-32.3,2.0,-21.9,8.6,-1.8
SF,40.0,11.0,18.6,-23.7,-2.2
DAL,32.7,12.0,29.6,0.9,4.0
KC,28.3,13.0,2.8,-17.5,8.0
PIT,20.7,11.0,3.1,-13.5,4.1
GB,14.5,11.0,20.9,5.3,-1.1
ATL,13.9,9.0,14.4,5.8,5.4
MIN,12.4,8.0,3.6,-9.3,-0.5
DEN,11.3,8.0,18.8,10.5,3.0
CHI,9.8,9.0,19.8,6.3,-3.7
DET,9.1,10.0,15.8,2.8,-3.9
OAK,5.4,8.0,-0.9,-6.5,-0.2
SD,4.9,9.0,5.0,0.8,0.6
MIA,1.0,9.0,6.4,6.1,0.7
BUF,0.2,10.0,-5.5,-6.5,-0.8
