date,year,month,yearmonth,week,weekday,weekdaynum,points_11,points_12,points_14,points_15,points_18,points
2018-07-24,2018,July,Jul 2018 ,30,Tues,2,0,0,0,0,0,0
2018-07-25,2018,July,Jul 2018,30,Wed,3,0,0,0,0,0,0
2018-07-26,2018,July,Jul 2018 ,30,Thurs,4,0,0,0,0,0,0
2018-07-27,2018,July,Jul 2018,30,Fri,5,0,0,0,0,0,0
2018-07-28,2018,July,Jul 2018 ,30,Sat,6,0,0,0,0,0,0
2018-07-29,2018,July,Jul 2018,30,Sun,7,0,0,0,0,0,0
2018-07-30,2018,July,Jul 2018 ,31,Mon,1,0,0,0,0,0,0
2018-07-31,2018,July,Jul 2018,31,Tues,2,0,0,0,0,0,0
2018-08-01,2018,August,Aug 2018,31,Wed,3,0,0,0,0,0,0
2018-08-02,2018,August,Aug 2018,31,Thurs,4,0,0,0,0,0,0
2018-08-03,2018,August,Aug 2018,31,Fri,5,0,0,0,0,0,0
2018-08-04,2018,August,Aug 2018,31,Sat,6,0,0,0,0,0,0
2018-08-05,2018,August,Aug 2018,31,Sun,7,0,0,0,0,0,0
2018-08-06,2018,August,Aug 2018,32,Mon,1,1000,1000,90,600,90,556
2018-08-07,2018,August,Aug 2018,32,Tues,2,1000,1000,90,600,90,556
2018-08-08,2018,August,Aug 2018,32,Wed,3,1000,1000,90,600,90,556
2018-08-09,2018,August,Aug 2018,32,Thurs,4,1000,1000,90,600,90,556
2018-08-10,2018,August,Aug 2018,32,Fri,5,1000,1000,90,600,90,556
2018-08-11,2018,August,Aug 2018,32,Sat,6,1000,1000,90,600,90,556
2018-08-12,2018,August,Aug 2018,32,Sun,7,1000,1000,90,600,90,556
2018-08-13,2018,August,Aug 2018,33,Mon,1,600,600,90,600,1000,578
2018-08-14,2018,August,Aug 2018,33,Tues,2,600,600,90,600,1000,578
2018-08-15,2018,August,Aug 2018,33,Wed,3,600,600,90,600,1000,578
2018-08-16,2018,August,Aug 2018,33,Thurs,4,600,600,90,600,1000,578
2018-08-17,2018,August,Aug 2018,33,Fri,5,600,600,90,600,1000,578
2018-08-18,2018,August,Aug 2018,33,Sat,6,600,600,90,600,1000,578
2018-08-19,2018,August,Aug 2018,33,Sun,7,600,600,90,600,1000,578
2018-08-20,2018,August,Aug 2018,34,Mon,1,0,0,0,0,0,0
2018-08-21,2018,August,Aug 2018,34,Tues,2,0,0,0,0,0,0
2018-08-22,2018,August,Aug 2018,34,Wed,3,0,0,0,0,0,0
2018-08-23,2018,August,Aug 2018,34,Thurs,4,0,0,0,0,0,0
2018-08-24,2018,August,Aug 2018,34,Fri,5,0,0,0,0,0,0
2018-08-25,2018,August,Aug 2018,34,Sat,6,0,0,0,0,0,0
2018-08-26,2018,August,Aug 2018,34,Sun,7,0,0,0,0,0,0
2018-08-27,2018,August,Aug 2018,35,Mon,1,2000,1200,720,2000,2000,1584
2018-08-28,2018,August,Aug 2018,35,Tues,2,2000,1200,720,2000,2000,1584
2018-08-29,2018,August,Aug 2018,35,Wed,3,2000,1200,720,2000,2000,1584
2018-08-30,2018,August,Aug 2018,35,Thurs,4,2000,1200,720,2000,2000,1584
2018-08-31,2018,August,Aug 2018,35,Fri,5,2000,1200,720,2000,2000,1584
2018-09-01,2018,September,Sep 2018,35,Sat,6,2000,1200,720,2000,2000,1584
2018-09-02,2018,September,Sep 2018,35,Sun,7,2000,1200,720,2000,2000,1584
2018-09-03,2018,September,Sep 2018,36,Mon,1,2000,1200,720,2000,2000,1584
2018-09-04,2018,September,Sep 2018,36,Tues,2,2000,1200,720,2000,2000,1584
2018-09-05,2018,September,Sep 2018,36,Wed,3,2000,1200,720,2000,2000,1584
2018-09-06,2018,September,Sep 2018,36,Thurs,4,2000,1200,720,2000,2000,1584
2018-09-07,2018,September,Sep 2018,36,Fri,5,2000,1200,720,2000,2000,1584
2018-09-08,2018,September,Sep 2018,36,Sat,6,2000,1200,720,2000,2000,1584
2018-09-09,2018,September,Sep 2018,36,Sun,7,2000,1200,720,2000,2000,1584
2018-09-10,2018,September,Sep 2018,37,Mon,1,0,0,0,0,0,0
2018-09-11,2018,September,Sep 2018,37,Tues,2,0,0,0,0,0,0
2018-09-12,2018,September,Sep 2018,37,Wed,3,0,0,0,0,0,0
2018-09-13,2018,September,Sep 2018,37,Thurs,4,0,0,0,0,0,0
2018-09-14,2018,September,Sep 2018,37,Fri,5,0,0,0,0,0,0
2018-09-15,2018,September,Sep 2018,37,Sat,6,0,0,0,0,0,0
2018-09-16,2018,September,Sep 2018,37,Sun,7,0,0,0,0,0,0
2018-09-17,2018,September,Sep 2018,38,Mon,1,0,0,0,0,0,0
2018-09-18,2018,September,Sep 2018,38,Tues,2,0,0,0,0,0,0
2018-09-19,2018,September,Sep 2018,38,Wed,3,0,0,0,0,0,0
2018-09-20,2018,September,Sep 2018,38,Thurs,4,0,0,0,0,0,0
2018-09-21,2018,September,Sep 2018,38,Fri,5,0,0,0,0,0,0
2018-09-22,2018,September,Sep 2018,38,Sat,6,0,0,0,0,0,0
2018-09-23,2018,September,Sep 2018,38,Sun,7,0,0,0,0,0,0
2018-09-24,2018,September,Sep 2018,39,Mon,1,0,0,0,0,0,0
2018-09-25,2018,September,Sep 2018,39,Tues,2,0,0,0,0,0,0
2018-09-26,2018,September,Sep 2018,39,Wed,3,0,0,0,0,0,0
2018-09-27,2018,September,Sep 2018,39,Thurs,4,0,0,0,0,0,0
2018-09-28,2018,September,Sep 2018,39,Fri,5,0,0,0,0,0,0
2018-09-29,2018,September,Sep 2018,39,Sat,6,0,0,0,0,0,0
2018-09-30,2018,September,Sep 2018,39,Sun,7,0,0,0,0,0,0
2018-10-01,2018,October,Oct 2018,40,Mon,1,0,500,500,500,0,300
2018-10-02,2018,October,Oct 2018,40,Tues,2,0,500,500,500,0,300
2018-10-03,2018,October,Oct 2018,40,Wed,3,0,500,500,500,0,300
2018-10-04,2018,October,Oct 2018,40,Thurs,4,0,500,500,500,0,300
2018-10-05,2018,October,Oct 2018,40,Fri,5,0,500,500,500,0,300
2018-10-06,2018,October,Oct 2018,40,Sat,6,0,500,500,500,0,300
2018-10-07,2018,October,Oct 2018,40,Sun,7,0,500,500,500,0,300
2018-10-08,2018,October,Oct 2018,41,Mon,1,0,1000,360,1000,1000,672
2018-10-09,2018,October,Oct 2018,41,Tues,2,0,1000,360,1000,1000,672
2018-10-10,2018,October,Oct 2018,41,Wed,3,0,1000,360,1000,1000,672
2018-10-11,2018,October,Oct 2018,41,Thurs,4,0,1000,360,1000,1000,672
2018-10-12,2018,October,Oct 2018,41,Fri,5,0,1000,360,1000,1000,672
2018-10-13,2018,October,Oct 2018,41,Sat,6,0,1000,360,1000,1000,672
2018-10-14,2018,October,Oct 2018,41,Sun,7,0,1000,360,1000,1000,672
2018-10-15,2018,October,Oct 2018,42,Mon,1,0,0,0,0,0,0
2018-10-16,2018,October,Oct 2018,42,Tues,2,0,0,0,0,0,0
2018-10-17,2018,October,Oct 2018,42,Wed,3,0,0,0,0,0,0
2018-10-18,2018,October,Oct 2018,42,Thurs,4,0,0,0,0,0,0
2018-10-19,2018,October,Oct 2018,42,Fri,5,0,0,0,0,0,0
2018-10-20,2018,October,Oct 2018,42,Sat,6,0,0,0,0,0,0
2018-10-21,2018,October,Oct 2018,42,Sun,7,0,0,0,0,0,0
2018-10-22,2018,October,Oct 2018,43,Mon,1,0,0,0,0,0,0
2018-10-23,2018,October,Oct 2018,43,Tues,2,0,0,0,0,0,0
2018-10-24,2018,October,Oct 2018,43,Wed,3,0,0,0,0,0,0
2018-10-25,2018,October,Oct 2018,43,Thurs,4,0,0,0,0,0,0
2018-10-26,2018,October,Oct 2018,43,Fri,5,0,0,0,0,0,0
2018-10-27,2018,October,Oct 2018,43,Sat,6,0,0,0,0,0,0
2018-10-28,2018,October,Oct 2018,43,Sun,7,0,0,0,0,0,0
2018-10-29,2018,October,Oct 2018,44,Mon,1,180,10,1000,1000,600,558
2018-10-30,2018,October,Oct 2018,44,Tues,2,180,10,1000,1000,600,558
2018-10-31,2018,October,Oct 2018,44,Wed,3,180,10,1000,1000,600,558
2018-11-01,2018,November,Nov 2018,44,Thurs,4,180,10,1000,1000,600,558
2018-11-02,2018,November,Nov 2018,44,Fri,5,180,10,1000,1000,600,558
2018-11-03,2018,November,Nov 2018,44,Sat,6,180,10,1000,1000,600,558
2018-11-04,2018,November,Nov 2018,44,Sun,7,180,10,1000,1000,600,558
2018-11-05,2018,November,Nov 2018,45,Mon,1,180,1500,0,0,0,336
2018-11-06,2018,November,Nov 2018,45,Tues,2,180,1500,0,0,0,336
2018-11-07,2018,November,Nov 2018,45,Wed,3,180,1500,0,0,0,336
2018-11-08,2018,November,Nov 2018,45,Thurs,4,180,1500,0,0,0,336
2018-11-09,2018,November,Nov 2018,45,Fri,5,180,1500,0,0,0,336
2018-11-10,2018,November,Nov 2018,45,Sat,6,180,1500,0,0,0,336
2018-11-11,2018,November,Nov 2018,45,Sun,7,180,1500,0,0,0,336
2018-11-12,2018,November,Nov 2018,46,Mon,1,0,0,1500,1300,1000,760
2018-11-13,2018,November,Nov 2018,46,Tues,2,0,0,1500,1300,1000,760
2018-11-14,2018,November,Nov 2018,46,Wed,3,0,0,1500,1300,1000,760
2018-11-15,2018,November,Nov 2018,46,Thurs,4,0,0,1500,1300,1000,760
2018-11-16,2018,November,Nov 2018,46,Fri,5,0,0,1500,1300,1000,760
2018-11-17,2018,November,Nov 2018,46,Sat,6,0,0,1500,1300,1000,760
